term,Category,Freq,Term,Total,loglift,logprob
1985,Default,0.99,기자,27189,25.0,25.0
3424,Default,0.99,무단,21575,21.90279157012027,21.90279157012027
337,Default,0.99,20일,20858,21.507227187465517,21.507227187465517
7204,Default,0.99,재배포,20443,21.27827430210747,21.27827430210747
1890,Default,0.99,금지,19890,20.973187686196624,20.973187686196624
4627,Default,0.99,서울,17110,19.43947920114752,19.43947920114752
4418,Default,0.99,사진,12875,17.103056383096103,17.103056383096103
7914,Default,0.99,지난,12552,16.924859318106588,16.924859318106588
304,Default,0.99,2016,11149,16.150833057486484,16.150833057486484
1121,Default,0.99,것으로,10447,15.763544080326604,15.763544080326604
2434,Default,0.99,뉴시스,9950,15.489352311596601,15.489352311596601
2681,Default,0.99,대한,9054,14.995034756703078,14.995034756703078
9325,Default,0.99,함께,7946,14.383758137482069,14.383758137482069
8048,Default,0.99,진행,7842,14.326381992717643,14.326381992717643
2667,Default,0.99,대표,7727,14.26293721725698,14.26293721725698
6170,Default,0.99,오후,7695,14.245283018867925,14.245283018867925
7249,Default,0.99,저작권자,7556,14.16859759461547,14.16859759461547
6701,Default,0.99,이번,7434,14.101290963257199,14.101290963257199
2965,Default,0.99,때문,6780,13.7404832836809,13.7404832836809
3530,Default,0.99,미국,6586,13.633454705947258,13.633454705947258
6658,Default,0.99,이날,6340,13.497738055831402,13.497738055831402
1511,Default,0.99,관련,6295,13.472911839346795,13.472911839346795
2430,Default,0.99,뉴스1,5964,13.290301224760013,13.290301224760013
7563,Default,0.99,제공,5715,13.152929493545184,13.152929493545184
2663,Default,0.99,대통령,5682,13.134723601456471,13.134723601456471
8161,Default,0.99,참석,5629,13.1054838353746,13.1054838353746
6117,Default,0.99,예정,5612,13.096105042480415,13.096105042480415
234,Default,0.99,19일,5573,13.074588988193755,13.074588988193755
6671,Default,0.99,이라고,5560,13.0674169700982,13.0674169700982
6153,Default,0.99,오전,5291,12.919011364890213,12.919011364890213
3786,Default,0.99,방송,5246,12.894185148405604,12.894185148405604
6283,Default,0.99,우리,5234,12.88756482400971,12.88756482400971
1244,Default,0.99,경찰,5198,12.867703850822023,12.867703850822023
6055,Default,0.99,영상,4974,12.744124462098643,12.744124462098643
4349,Default,0.99,사람,4919,12.713781308617456,12.713781308617456
1385,Default,0.99,공감,4751,12.62109676707492,12.62109676707492
8379,Default,0.99,최근,4726,12.607304424583472,12.607304424583472
9241,Default,0.99,한국,4698,12.591857000993048,12.591857000993048
6017,Default,0.99,연합뉴스,4688,12.58634006399647,12.58634006399647
2429,Default,0.99,뉴스,4682,12.583029901798522,12.583029901798522
3362,Default,0.99,모습,4622,12.549928279819044,12.549928279819044
1387,Default,0.99,공개,4575,12.523998675935122,12.523998675935122
5242,Default,0.99,시작,4459,12.4600022067748,12.4600022067748
6190,Default,0.99,올해,4388,12.420831954099084,12.420831954099084
837,Default,0.99,가장,4328,12.387730332119608,12.387730332119608
6793,Default,0.99,이후,4323,12.384971863621317,12.384971863621317
1222,Default,0.99,경우,4304,12.374489683327816,12.374489683327816
2990,Default,0.99,라고,4298,12.371179521129868,12.371179521129868
6712,Default,0.99,이상,4260,12.350215160542866,12.350215160542866
4351,Default,0.99,사랑,4248,12.343594836146972,12.343594836146972
7208,Topic1,371.57375003327434,재송신,373,0.9999842931494412,0.039513135769699635
9513,Topic1,448.8577704975673,협상,662,0.998060619664676,0.03785790407226137
834,Topic1,374.28393619388885,가이드라인,478,0.9988673441705889,0.0341025494434813
7947,Topic1,284.63364867326425,지상파,432,0.9978858380054556,0.02528222922588039
2580,Topic1,259.8820397840308,대가,525,0.9958428184611332,0.02211975125550499
7948,Topic1,164.72659120159642,지상파방송,166,0.9999683673403854,0.019679418949920563
3810,Topic1,158.30537427152197,방통위,193,0.9991039700133965,0.016584385323737932
4456,Topic1,155.46979727530075,산정,235,0.9979110732546993,0.015783936764803344
94,Topic1,73.21648118310154,120,164,0.9949516963688254,0.014274716131708748
6472,Topic1,105.67159030274661,유료방송,116,0.9996001962553646,0.01230307356764261
3786,Topic1,159.8546601051405,방송,5246,0.8847996688132481,0.009420337295728555
3540,Topic1,81.50196468093424,미래부,322,0.9880690218670386,0.008047906492038308
4376,Topic1,83.83811289731491,사업자,342,0.9875560658290662,0.0075964486249285555
1537,Topic1,77.67905868905802,광고,573,0.9745703010163214,0.0072751862539921375
3792,Topic1,54.86100418921933,방송통신위원회,91,0.9973116331950891,0.006998071781044895
8646,Topic1,60.78916408542764,케이블,152,0.993897508575538,0.00690141904418077
4394,Topic1,81.11023887627569,사유,402,0.9840687110609984,0.0064198840439948545
3789,Topic1,53.7660198797025,방송사,137,0.9937050025045131,0.005885848493912821
6249,Topic1,78.29511823334569,요구,1680,0.9227534972731231,0.005512566840225699
1222,Topic1,115.44128027809494,경우,4304,0.8707210467000754,0.00550684770655431
9337,Topic1,62.89709077710591,합리적,398,0.978663347938328,0.005442875253857213
7483,Topic1,93.69757069221673,정부,4169,0.848909187225681,0.005291347855276483
7460,Topic1,69.54140262834025,정당,432,0.9791169070869112,0.005219367899384537
3094,Topic1,74.54935317936575,마련,2655,0.8759300981937614,0.005186822308703217
5899,Topic1,73.23216339373015,여부,1163,0.942600875016875,0.0047808896979825675
4773,Topic1,47.295232219350574,성실,197,0.9872128319467163,0.004762979261479514
6417,Topic1,57.865401425265645,위반,825,0.9485418230596487,0.004543751049567807
6617,Topic1,52.31344423616568,의무,349,0.9773187954615253,0.00444252675014646
4967,Topic1,38.49912890267758,송출,73,0.996346284107527,0.004311815214174134
1997,Topic1,69.085545052543,기준,2371,0.880012466076537,0.004220168185718438
1303,Topic1,28.88804398501039,고려요소,35,0.9991349692336665,0.004115852205947817
2434,Topic1,48.807449489927926,뉴시스,9950,0.5464089318023566,0.0040448450611087605
7576,Topic1,65.08217744065695,제시,1432,0.9208561058965832,0.004037746438020189
7989,Topic1,41.95368257484902,지침,167,0.9879501631409779,0.003994044596798449
6384,Topic1,47.288917567653144,원칙,653,0.9501959529936571,0.003986833532668048
6701,Topic1,78.35524601462816,이번,7434,0.7224663703315257,0.003914612901311073
7420,Topic1,50.382832090552924,절차,595,0.9576399636470273,0.00383124153367278
9518,Topic1,63.554316354093274,협의체,408,0.9783032588852145,0.0037515604933003907
1268,Topic1,41.944509490146004,계약,1127,0.9042755402385968,0.003658922550962702
2293,Topic1,55.365666339724456,내용,2469,0.8486137830158718,0.0034462309111483735
7263,Topic1,29.37866827831701,저해,83,0.9925865699116051,0.0032735275963265502
