term,Topic,Freq,Term
6628,1,0.8792406279954316,의왕
365,1,0.8785376569642742,24일째
8241,1,0.8550521334244451,철도파업
6143,1,0.973390835464804,오봉역
8405,1,0.7351623805441313,최장기
6629,1,0.7527832223881119,의왕시
6036,1,0.35362265996308884,열차
8908,1,0.19374876240644098,파업
2430,1,0.017317040283443316,뉴스1
1189,1,0.052175421893567546,경기
94,1,0.4095210327464663,120
3208,1,0.31441898376913197,맞은
9572,1,0.7320571644155142,홍기
7522,1,0.604984748888722,정차
5930,1,0.2552340144940368,역대
7302,1,0.9277539036309654,전국철도노동조합
1938,1,0.05420600133700844,기록
6666,1,0.11001438698337541,이동
5727,1,0.46534427369900705,양대
5970,1,0.4675360629242043,연대
8364,1,0.6700571300514542,총파업
2281,1,0.45060987074632525,내륙
2434,1,0.010744845154230714,뉴시스
6752,1,0.5622819807995784,이재명
4749,1,0.183400068120694,성과연봉제
9590,1,0.4035345341132352,화물
9529,1,0.2814077985524585,형식
8240,1,0.34866394415268137,철도노조
1393,1,0.17672857144973037,공공
1214,1,0.2903524621568154,경신
381,1,0.1357126189230852,27일
304,1,0.004427049764331463,2016
3420,1,0.25602501428901286,무기
337,1,0.008404035100566169,20일
4366,1,0.21138454301790338,사상
3699,1,0.09116747631599882,반대
6153,1,0.015384555714170673,오전
7915,1,0.07950549750302346,지난달
4418,1,0.006699980845611274,사진
6757,1,0.3766842133970187,이정선
6017,1,0.00837623322628767,연합뉴스
1985,1,0.004756091790671425,기자
7575,1,0.012690394635991625,제보
5242,1,0.019306527642869865,시작
6055,1,0.011204007654931947,영상
1385,1,0.011377226295504209,공감
208,1,0.22757881240293218,196
300,1,0.03907803991166663,2013년
7204,1,0.003895736270250691,재배포
98,1,0.12441227312048385,123
1901,2,0.7002355266457657,급식
3838,2,0.1993888184828953,배추
9210,2,0.025059686348221897,학교
8273,2,0.05213739077967128,청소년
8274,2,0.09230445142221604,청소년들
9216,2,0.0578998004568611,학부모
8580,2,0.042899151081069974,친환경
1572,2,0.02793418656208668,교육감
7820,2,0.20357280722711277,중국산
3475,2,0.05280898498920657,문제점
1068,2,0.010020885017944271,건강
778,2,0.008215072318692736,가격
2636,2,0.089013869398687,대용량
7871,2,0.045962419356388194,중학교
9575,2,0.01302134953459234,홍보
8231,2,0.050889931613282556,천연
2096,2,0.03918594500843968,김치
8316,2,0.05658300781421302,초등학교
6104,2,0.01277107861957833,예산
3653,2,0.09218739301418119,박보영
7967,2,0.004341024914379451,지원
7297,2,0.0056906124181161834,전국
3671,2,0.05530620027419415,박원순
4641,2,0.05556622658999871,서울시장
6293,2,0.06340934795277904,우수사례
2075,2,0.0359037935933563,김장
5282,2,0.023398361350006853,식품
1439,2,0.011473752881539442,공유
1695,2,0.05080532977495584,국산
2741,2,0.07907217087233163,도시락
9001,2,0.07309875933703246,평년
2434,2,0.0009732367752332294,뉴시스
6059,2,0.038741379885804325,영양
2624,2,0.004549357410277305,대상
9076,2,0.12972465254155457,표준화
632,2,0.14261822704833185,5주년
6070,2,0.0579949412781339,영웅
7958,2,0.003200947461111289,지역
8668,2,0.014569655287744348,콘서트
7688,2,0.06736272077211035,조희연
5595,2,0.007912202582215838,안전
6509,2,0.03755302545780103,유정
5647,2,0.05566819347373435,알리기
5405,2,0.04395419771939669,실태
3161,2,0.02312496779970399,만족
2597,2,0.05377849987982619,대다수
9416,2,0.0025629567655749527,행사
1385,2,0.001851411125588505,공감
1985,2,0.0007122915738029986,기자
408,2,0.016969574001423644,2월
4174,3,0.7265885579547942,분양
2516,3,0.6828918355396681,단지
5553,3,0.44013870325227084,아파트
6167,3,0.6631056802257318,오피스텔
724,3,0.47393207807453097,84
8276,3,0.7116282779097205,청약
7366,3,0.8985468606628187,전용면적
252,3,0.7962627120451804,1순위
7365,3,0.3616843936795674,전용
1226,3,0.647462527826426,경쟁률
1401,3,0.20455606699280812,공급
6995,3,0.45324495088173666,입주
9000,3,0.20670591116611894,평균
1189,3,0.07075093774580193,경기
6117,3,0.05375397284051363,예정
7946,3,0.5015806787930611,지상
8372,3,0.1228403332839617,최고
1767,3,0.09337084657822543,규모
6436,3,0.17484244359906423,위치
1021,3,0.4550805388091798,개통
4627,3,0.014464146481838578,서울
7958,3,0.05882745062440689,지역
7995,3,0.35847092575156686,지하
7188,3,0.46081903253458173,재건축
607,3,0.37478609567135185,59
4987,3,0.29284740008989285,수도권
1938,3,0.07286084977951787,기록
4076,3,0.17102184237068804,부동산
4488,3,0.5191170463424515,상가
7647,3,0.09969891862762165,조성
6808,3,0.10425232845510302,인근
1151,3,0.878018906862296,견본주택
1615,3,0.0876496928119161,구성
1357,3,0.7183980502091215,고점
785,3,0.2809668059905553,가구
1121,3,0.02654634221812732,것으로
3349,3,0.9381518902188263,모델하우스
4719,3,0.2376168511445241,설계
7098,3,0.6002275762650661,자치구
5034,3,0.8487356887300733,수요자들
5541,3,0.9024882454277156,아이파크
4001,3,0.7703842438895523,보증금
7914,3,0.02026927006092518,지난
3372,3,0.18336729648762395,모집
6738,3,0.06112832036112757,이용
792,3,0.058430827699907525,가능
7846,3,0.6623690934634395,중소형
1076,3,0.16509388339905276,건설
8277,3,0.8836069608223877,청약경쟁률
1268,3,0.10193759920644109,계약
1597,4,0.6019136954017869,구글
8671,4,0.15936382300651272,콘텐츠
3346,4,0.1368743163996519,모델
6410,4,0.2569635252862524,웹툰
3786,4,0.03500706274296049,방송
8604,4,0.11407310902438715,캐릭터
9568,4,0.6500770517787637,홈쇼핑
9382,4,0.08496707497923783,해외
4620,4,0.048530527395952476,서비스
5399,4,0.08503327942664231,실제
9562,4,0.21775752687728556,혼자
7967,4,0.03869666068239399,지원
9109,4,0.040884312892093766,프로그램
8044,4,0.10559386174641845,진출
1919,4,0.2582900414890269,기금
5804,4,0.5208957306905014,언론사
6527,4,0.13624042664048833,유튜브
4285,4,0.09513572220583966,비용
1387,4,0.01840986608538909,공개
7113,4,0.06208243092229519,작업
8048,4,0.011646413038200366,진행
6687,4,0.056795153487220154,이름
5555,4,0.16439200907292822,아프리카
2429,4,0.015501083756626698,뉴스
5243,4,0.019978821125128193,시장
8164,4,0.02216416205601169,참여
6117,4,0.014880357039084937,예정
1740,4,0.13310371107295338,궁금증
4089,4,0.06448341025922813,부문
6175,4,0.038952754637733594,온라인
993,4,0.02745567863451342,개발
7842,4,0.5138436691000521,중소기업들
4371,4,0.017746415034886633,사업
2007,4,0.06694999381620019,기획
4707,4,0.029152677960359048,선정
4418,4,0.00575807032253599,사진
348,4,0.02528544328201045,21일
7589,4,0.03052537130059212,제작
3424,4,0.005296589616025115,무단
5462,4,0.691523569389031,썼다고
1890,4,0.0052987104151928895,금지
7204,4,0.005328715235518046,재배포
4548,4,0.033326109779403125,상품
3537,4,0.023536692204913147,미디어
8616,4,0.3271989039788225,캠핑
1537,4,0.06990503453325451,광고
5119,4,0.27910404965353475,스케치북
9126,4,0.11063530535449782,플랫폼
1985,4,0.004038802106658835,기자
5846,4,0.5616773587871302,없었기
7664,5,0.27569673014613644,조작
3840,5,0.44871332482677967,배출가스
4091,5,0.7997398229937551,부문장
5525,5,0.8513010881652399,아우디
8340,5,0.5396364791557667,총괄대표
5527,5,0.48705253631007417,아우디폭스바겐코리아
9057,5,0.47200422171130246,폭스바겐
4039,5,0.15370322413913176,본사
1112,5,0.05003937855624355,검찰
8855,5,0.3452261590196067,트레
6470,5,0.3809795447018685,유로
8111,5,0.05670539187853594,차량
7637,5,0.027444974256611066,조사
4646,5,0.24114821601695452,서울중앙지검
5045,5,0.09035049939638197,수입
8156,5,0.21981457761539833,참고인
5309,5,0.17798527503605566,신분
2767,5,0.05749827647452728,독일
6963,5,0.16886033928765115,임원
2667,5,0.00894323190722589,대표
299,5,0.06816555083221817,2012년
7319,5,0.05946146562550598,전략
8935,5,0.024512132883279983,판매
6646,5,0.020382696592161364,의혹
598,5,0.07720738471880449,54
8476,5,0.048103204322210956,출석
4924,5,0.22216113912427254,소환
3722,5,0.12071315113760808,받기
2430,5,0.0042747912676815835,뉴스1
7278,5,0.029875713227835637,적용
9249,5,0.48373267434860273,한국법인
3471,5,0.015570568227498246,문제
8339,5,0.08904105319313922,총괄
5526,5,0.5746108886280316,아우디코리아
1511,5,0.009113169717261624,관련
4408,5,0.026464428393358733,사장
9241,5,0.009628563939291488,한국
5002,5,0.018765485386575378,수사
6153,5,0.0058460273301300675,오전
4627,5,0.0023442487147915104,서울
287,5,0.0458230839692978,2007년
9117,5,0.03152948652437481,프로젝트
4409,5,0.5046162020967012,사장으로
4659,5,0.12947868935630732,서초동
9139,5,0.05501972912718707,피의자
9632,5,0.08730001131251429,환경부
8053,5,0.01768956155471239,질문
276,5,0.031401524058793914,200
4658,5,0.040930097901716,서초구
5827,5,0.022444642285149956,업무
4515,6,0.7013787241857217,상승폭
9295,6,0.6353860013765129,한식
7916,6,0.32155444563233965,지난주
6580,6,0.09688796128610232,음식
19,6,0.037962720058793226,08
6513,6,0.03034136435518368,유지
969,6,0.08519383874297028,강호동
4513,6,0.22950499354224885,상승률
7297,6,0.02082638484764301,전국
5553,6,0.028713547255522054,아파트
360,6,0.03587117549064229,24
5554,6,0.24948590911379773,아파트값
6252,6,0.0943376854096445,요리
4512,6,0.025704655830236157,상승
13,6,0.1447274038244056,04
7354,6,0.32964594077703363,전세
930,6,0.2915900079551269,강남권
4514,6,0.0850994798687181,상승세
9614,6,0.01788343564203993,확대
7958,6,0.009961605559014102,지역
7606,6,0.016663085743378006,제주
2840,6,0.06553982513207302,동일
