term,Category,Freq,Term,Total,loglift,logprob
1985,Default,0.99,기자,27189,25.0,25.0
3424,Default,0.99,무단,21575,21.90279157012027,21.90279157012027
337,Default,0.99,20일,20858,21.507227187465517,21.507227187465517
7204,Default,0.99,재배포,20443,21.27827430210747,21.27827430210747
1890,Default,0.99,금지,19890,20.973187686196624,20.973187686196624
4627,Default,0.99,서울,17110,19.43947920114752,19.43947920114752
4418,Default,0.99,사진,12875,17.103056383096103,17.103056383096103
7914,Default,0.99,지난,12552,16.924859318106588,16.924859318106588
304,Default,0.99,2016,11149,16.150833057486484,16.150833057486484
1121,Default,0.99,것으로,10447,15.763544080326604,15.763544080326604
2434,Default,0.99,뉴시스,9950,15.489352311596601,15.489352311596601
2681,Default,0.99,대한,9054,14.995034756703078,14.995034756703078
9325,Default,0.99,함께,7946,14.383758137482069,14.383758137482069
8048,Default,0.99,진행,7842,14.326381992717643,14.326381992717643
2667,Default,0.99,대표,7727,14.26293721725698,14.26293721725698
6170,Default,0.99,오후,7695,14.245283018867925,14.245283018867925
7249,Default,0.99,저작권자,7556,14.16859759461547,14.16859759461547
6701,Default,0.99,이번,7434,14.101290963257199,14.101290963257199
2965,Default,0.99,때문,6780,13.7404832836809,13.7404832836809
3530,Default,0.99,미국,6586,13.633454705947258,13.633454705947258
6658,Default,0.99,이날,6340,13.497738055831402,13.497738055831402
1511,Default,0.99,관련,6295,13.472911839346795,13.472911839346795
2430,Default,0.99,뉴스1,5964,13.290301224760013,13.290301224760013
7563,Default,0.99,제공,5715,13.152929493545184,13.152929493545184
2663,Default,0.99,대통령,5682,13.134723601456471,13.134723601456471
8161,Default,0.99,참석,5629,13.1054838353746,13.1054838353746
6117,Default,0.99,예정,5612,13.096105042480415,13.096105042480415
234,Default,0.99,19일,5573,13.074588988193755,13.074588988193755
6671,Default,0.99,이라고,5560,13.0674169700982,13.0674169700982
6153,Default,0.99,오전,5291,12.919011364890213,12.919011364890213
3786,Default,0.99,방송,5246,12.894185148405604,12.894185148405604
6283,Default,0.99,우리,5234,12.88756482400971,12.88756482400971
1244,Default,0.99,경찰,5198,12.867703850822023,12.867703850822023
6055,Default,0.99,영상,4974,12.744124462098643,12.744124462098643
4349,Default,0.99,사람,4919,12.713781308617456,12.713781308617456
1385,Default,0.99,공감,4751,12.62109676707492,12.62109676707492
8379,Default,0.99,최근,4726,12.607304424583472,12.607304424583472
9241,Default,0.99,한국,4698,12.591857000993048,12.591857000993048
6017,Default,0.99,연합뉴스,4688,12.58634006399647,12.58634006399647
2429,Default,0.99,뉴스,4682,12.583029901798522,12.583029901798522
3362,Default,0.99,모습,4622,12.549928279819044,12.549928279819044
1387,Default,0.99,공개,4575,12.523998675935122,12.523998675935122
5242,Default,0.99,시작,4459,12.4600022067748,12.4600022067748
6190,Default,0.99,올해,4388,12.420831954099084,12.420831954099084
837,Default,0.99,가장,4328,12.387730332119608,12.387730332119608
6793,Default,0.99,이후,4323,12.384971863621317,12.384971863621317
1222,Default,0.99,경우,4304,12.374489683327816,12.374489683327816
2990,Default,0.99,라고,4298,12.371179521129868,12.371179521129868
6712,Default,0.99,이상,4260,12.350215160542866,12.350215160542866
4351,Default,0.99,사랑,4248,12.343594836146972,12.343594836146972
6628,Topic1,137.16153796728733,의왕,156,0.9996621827521055,0.07500034309421724
365,Topic1,118.60258369017701,24일째,135,0.9996599451116176,0.05475905061896759
8241,Topic1,119.70729867942231,철도파업,140,0.999583079176558,0.05054974774932488
6143,Topic1,58.40345012788824,오봉역,60,0.9999327441238776,0.038233535185156556
8405,Topic1,91.16013518747228,최장기,124,0.9991144214551667,0.036805035350578545
6629,Topic1,59.46987456866084,의왕시,79,0.9991926298468066,0.03128877363058697
6036,Topic1,175.75046200165517,열차,497,0.9955227362597027,0.028229210788647558
8908,Topic1,197.6237376545698,파업,1020,0.9898650200703569,0.025939590679797096
2430,Topic1,103.27882825045594,뉴스1,5964,0.8774836005879608,0.021342299834539058
1189,Topic1,151.25654806945232,경기,2899,0.9572154324240764,0.020744499931173513
94,Topic1,67.16144937042047,120,164,0.996464867706784,0.020152256306509814
3208,Topic1,99.3563988710457,맞은,316,0.9946636814981914,0.019528670186484503
9572,Topic1,33.674629563113655,홍기,46,0.9991002503632008,0.019494925635158703
7522,Topic1,76.22807835997897,정차,126,0.9983960613435672,0.018740679042752686
5930,Topic1,107.70875411648353,역대,422,0.9928716363837655,0.018696004828557794
7302,Topic1,34.32689443434572,전국철도노동조합,37,0.9998084360202443,0.018304246471334797
1938,Topic1,173.40499827709,기록,3199,0.9588367813190025,0.017399411484785143
6666,Topic1,103.19349499040614,이동,938,0.9804840589083966,0.01723161665242577
5727,Topic1,46.534427369900705,양대,100,0.9971810373727954,0.01598124066281847
5970,Topic1,69.19533731278224,연대,148,0.9972056854765685,0.015837656702423486
8364,Topic1,36.85314215282998,총파업,55,0.9987899132070821,0.015574944002639536
2281,Topic1,62.184162162992884,내륙,138,0.997009149165916,0.015375085500859009
2434,Topic1,106.91120928459561,뉴시스,9950,0.8153089574042279,0.01481530906753778
6752,Topic1,41.04658459836922,이재명,73,0.9980882782873293,0.014780870923282723
4749,Topic1,85.8312318804848,성과연봉제,468,0.9891633925763522,0.014572730403342142
9590,Topic1,49.63474769592793,화물,123,0.9963763730927986,0.01410831454948688
9529,Topic1,71.75898863087691,형식,255,0.9937563043349525,0.01400642604128923
8240,Topic1,68.33813305392555,철도노조,196,0.9954246750746353,0.013918120083287291
1393,Topic1,63.97574286480239,공공,362,0.9886681122982329,0.013395781001212918
1214,Topic1,60.10295966646079,경신,207,0.9940223730944716,0.012972086279432716
381,Topic1,64.32778136954238,27일,474,0.9845723060457761,0.012613115772920127
304,Topic1,49.35717782253148,2016,11149,0.6437835252091151,0.01214295307811154
3420,Topic1,71.17495397234558,무기,278,0.9929009973220431,0.012138917355362206
337,Topic1,175.29136412760914,20일,20858,0.775007413457622,0.012049212855383311
4366,Topic1,72.71628279815876,사상,344,0.9909042356374611,0.011628623084402191
3699,Topic1,89.52646174231084,반대,982,0.976059367516971,0.011327147697471592
6153,Topic1,81.39968428367703,오전,5291,0.8639534626166839,0.010910735259559346
7915,Topic1,87.29703625831976,지난달,1098,0.9723024795765174,0.01058773805838642
4418,Topic1,86.26225338724515,사진,12875,0.7327227396795595,0.007939271561061558
6757,Topic1,20.34094752343901,이정선,54,0.9959450868320037,0.007920548282475987
6017,Topic1,39.267781364836594,연합뉴스,4688,0.7744241863790029,0.007637368395955784
